企业代号,企业名称,信誉评级预测
E124,个体经营E124 ,C
E125,个体经营E125 ,C
E126,个体经营E126 ,C
E127,个体经营E127 ,D
E128,个体经营E128 ,A
E129,个体经营E129 ,A
E130,个体经营E130 ,C
E131,个体经营E131 ,C
E132,个体经营E132 ,C
E133,个体经营E133 ,A
E134,***工程咨询有限公司,C
E135,***建设工程有限公司,C
E136,***机械有限责任公司,A
E137,***建设工程有限公司,A
E138,个体经营E138 ,C
E139,个体经营E139 ,C
E140,***建筑工程有限公司,A
E141,***食品有限公司,B
E142,***运业有限公司,C
E143,***电子科技有限公司,A
E144,***劳务有限公司,C
E145,***工贸有限公司,C
E146,***基础建设工程有限公司,C
E147,***装饰工程有限责任公司,C
E148,***商贸有限公司,C
E149,***建筑劳务有限公司,A
E150,***建设工程有限公司,C
E151,***路桥工程有限公司,A
E152,***运贸有限责任公司,A
E153,个体经营E153 ,A
E154,***汽车销售服务有限公司,A
E155,个体经营E155 ,C
E156,个体经营E156 ,C
E157,***环境设备工程有限公司,C
E158,***装饰工程有限公司,C
E159,个体经营E159 ,C
E160,***钢结构工程有限公司,A
E161,***建筑劳务有限责任公司,A
E162,***网络信息安全有限公司,C
E163,***物流有限公司,C
E164,个体经营E164 ,C
E165,***文化传媒股份有限公司,C
E166,***建筑工程有限公司,D
E167,***体育文化股份有限公司,C
E168,***建材有限公司,A
E169,***建筑设计有限公司,C
E170,***建筑劳务有限公司,C
E171,***质量检验测试站,B
E172,***物流有限公司,C
E173,***贸易有限责任公司,C
E174,***工程技术有限公司,A
E175,***食品集团有限公司,A
E176,***科技有限公司,A
E177,***电力工程有限公司,C
E178,***贸易有限公司,C
E179,***园林有限公司,C
E180,***电气有限公司,C
E181,***食品有限公司,A
E182,***新材料科技有限公司,C
E183,***建设工程有限公司,C
E184,***建筑装饰工程有限公司,C
E185,***生态魔芋有限公司,C
E186,***建筑劳务有限公司,A
E187,个体经营E187 ,C
E188,***硬质合金有限公司,C
E189,***石油工程技术服务有限公司,C
E190,***劳务有限公司,C
E191,***商贸有限责任公司,C
E192,***建设工程有限公司,A
E193,个体经营E193 ,A
E194,***文化传播有限公司,A
E195,***医药有限公司,C
E196,***地质制图印刷厂,B
E197,***医疗设备有限公司,C
E198,***商贸有限公司,C
E199,***建筑劳务有限公司,D
E200,个体经营E200 ,C
E201,***物流有限责任公司,C
E202,个体经营E202 ,A
E203,***建设工程有限公司,C
E204,***科技发展有限公司,C
E205,个体经营E205 ,A
E206,***建设工程有限公司,C
E207,个体经营E207 ,C
E208,个体经营E208 ,A
E209,***工程检测有限公司,C
E210,***建筑工程有限公司,A
E211,个体经营E211 ,C
E212,***建电管理咨询有限公司,D
E213,***科技有限公司,C
E214,***建筑工程有限公司,C
E215,***建筑工程有限公司,D
E216,***建设工程有限公司,C
E217,个体经营E217 ,C
E218,***建设工程有限公司,C
E219,***品牌营销策划有限公司,A
E220,***文化传播有限公司,C
E221,***测绘服务有限公司,C
E222,***数码科技有限公司,C
E223,***科技有限公司,C
E224,***纸业有限公司,C
E225,***物业服务有限责任公司***分公司,A
E226,***建设工程有限公司,C
E227,***安全技术有限公司,C
E228,***文化发展有限公司,C
E229,***家贸易有限公司,C
