企业代号,企业名称,风险系数,信誉评级,评分分数,贷款金额
E1,***电器销售有限公司,0.2,A,80.0,100.0
E10,***建筑劳务有限公司,0.3182500626389373,B,68.17,76.89
E100,***装饰工程有限公司,0.6296826103493182,D,37.03,16.07
E101,***灯饰工程有限公司,0.6328939441381464,D,36.71,15.45
E102,***大药房有限责任公司,0.6106774694549454,D,38.93,19.79
E103,***科技有限公司,0.6455949346117624,D,35.44,12.97
E104,***管理咨询有限责任公司,0.36995397730503554,C,63.0,66.8
E105,***建材经营部,0.3366994022177664,C,66.33,73.3
E106,***财务管理有限公司,0.2980426611205778,B,70.2,80.86
E107,***科技有限公司,0.6276830881393191,D,37.23,16.46
E108,***商贸有限公司,0.6040218774571232,D,39.6,21.09
E109,***服饰有限公司,0.621399489842903,D,37.86,17.7
E11,***建设工程有限公司,0.3346160500192497,C,66.54,73.71
E110,***通讯器材经营部,0.3522334494322915,C,64.78,70.27
E111,***科技有限公司,0.646094340050744,D,35.39,12.87
E112,***机械设备有限公司,0.626477895651285,D,37.35,16.7
E113,***美居科技有限公司,0.6159945182210378,D,38.4,18.75
E114,***食品有限责任公司,0.6226224302513919,D,37.74,17.46
E115,***装饰工程有限公司,0.6408205134337304,D,35.92,13.91
E116,***门窗有限公司,0.6072066492798933,D,39.28,20.47
E117,***人力资源管理咨询有限公司,0.6342055635863161,D,36.58,15.2
E118,***体育用品有限公司,0.6092980767103082,D,39.07,20.06
E119,***药房,0.5957057901368629,D,40.43,22.71
E12,***建筑劳务有限公司,0.3003896353554868,B,69.96,80.39
E120,***陈列广告有限公司,0.6300564455749192,D,36.99,16.0
E121,***药业连锁有限公司***药店,0.6173379971305861,D,38.27,18.5
E122,***商贸有限责任公司,0.6468402539456376,D,35.32,12.73
E123,***创科技有限责任公司,0.6607807267541598,D,33.92,10.0
E13,***汽车贸易有限公司,0.2730631487437651,A,72.69,85.72
E14,个体经营E14,0.3556918822975506,C,64.43,69.59
E15,***劳务有限公司,0.2632168524401921,A,73.68,87.66
E16,***建筑劳务有限公司,0.26686615283997595,A,73.31,86.93
E17,***消防工程有限公司,0.2563338347356664,A,74.37,89.0
E18,***消防工程有限责任公司,0.25504835370526885,A,74.5,89.26
E19,***科技有限公司,0.25230061105743123,A,74.77,89.79
E2,***技术有限责任公司,0.3010985395857259,A,69.89,80.25
E20,***贸易有限公司,0.29318227328533336,B,70.68,81.8
E21,***建设工程有限公司,0.2978023744561737,B,70.22,80.9
E22,***物流有限公司,0.2550652682156728,A,74.49,89.24
E23,***贸易有限公司,0.2946563521301053,B,70.53,81.5
E24,***建筑工程有限公司,0.25545779663089097,A,74.45,89.16
E25,***通讯设备有限公司,0.3412699179252352,C,65.87,72.4
E26,***金属材料有限公司,0.2502413031033614,A,74.98,90.2
E27,***农业开发有限公司,0.25109670595918954,A,74.89,90.02
E28,***景观工程有限公司,0.29580273824448683,B,70.42,81.29
E29,***建筑劳务有限公司,0.5557913697411995,C,44.42,30.51
E3,***电子(中国)有限公司***分公司,0.4157622881371224,C,58.42,57.85
E30,***建筑工程有限公司,0.29435377315892464,B,70.56,81.56
E31,***食品有限公司,0.2522905348931387,A,74.77,89.79
E32,***建筑劳务有限公司,0.2948977700475517,B,70.51,81.46
E33,***园林有限责任公司,0.3079527028939783,B,69.2,78.91
E34,***建设工程有限公司,0.3070187901735686,B,69.3,79.1
E35,***商贸有限公司,0.2929298342861535,B,70.71,81.86
