企业代号,风险概率,风险分数,风险等级
E285,0.9802863781456935,98,高风险
E293,0.03849327244358643,4,低风险
E405,0.03574260457354387,4,低风险
E217,0.030416813123122194,3,低风险
E424,0.026657210092101466,3,低风险
E376,0.03215189328595219,3,低风险
E418,0.02724576227327181,3,低风险
E385,0.015888349290665352,2,低风险
E365,0.015836449377115945,2,低风险
E401,0.02444212828110725,2,低风险
E404,0.01858679902518598,2,低风险
E406,0.01945465187512577,2,低风险
E425,0.016909779686201342,2,低风险
E414,0.02452005693812176,2,低风险
E422,0.0186744384074549,2,低风险
E316,0.02219366660573643,2,低风险
E417,0.017335902231377192,2,低风险
E297,0.0070225476469349775,1,低风险
E362,0.014398281217352342,1,低风险
E363,0.008025763182623631,1,低风险
E328,0.008816422143582917,1,低风险
E367,0.005294885601321413,1,低风险
E368,0.013866345009537477,1,低风险
E296,0.005702218255461587,1,低风险
E300,0.0062544560073849,1,低风险
E371,0.007851034780459731,1,低风险
E264,0.006819180972424676,1,低风险
E373,0.010765098165701724,1,低风险
E233,0.00921021787182686,1,低风险
E377,0.010102782292489463,1,低风险
E361,0.008346445934972458,1,低风险
E354,0.005406547307827733,1,低风险
E335,0.0076509127271872,1,低风险
E307,0.010493586400225869,1,低风险
E351,0.007042454649919604,1,低风险
E251,0.005633451910361013,1,低风险
E249,0.0055844499405964,1,低风险
E347,0.005318025382199164,1,低风险
E378,0.0064263336492108945,1,低风险
E239,0.005156462798956218,1,低风险
E218,0.007443625830385728,1,低风险
E341,0.008525051803417562,1,低风险
E339,0.005503036614194683,1,低风险
E338,0.005533759719111147,1,低风险
E242,0.01414044910550539,1,低风险
E336,0.014949771535433767,1,低风险
E245,0.0050043236899014595,1,低风险
E374,0.012155914166043042,1,低风险
E399,0.013476530416633022,1,低风险
E395,0.0076137634229894655,1,低风险
E397,0.012946536265785201,1,低风险
E398,0.009890642813677953,1,低风险
E267,0.009034076285729916,1,低风险
E400,0.006024427003325008,1,低风险
E402,0.014304609463567682,1,低风险
E407,0.008035763056515563,1,低风险
E408,0.00765417396222854,1,低风险
E409,0.009553232498123274,1,低风险
E410,0.005641504788285679,1,低风险
E411,0.009901589932503464,1,低风险
E286,0.006378180919290599,1,低风险
E413,0.01338249796965897,1,低风险
E416,0.009051178813400668,1,低风险
E421,0.007891647959733265,1,低风险
E423,0.009376715931362155,1,低风险
E396,0.009647869752063193,1,低风险
E323,0.010226847413158952,1,低风险
E394,0.005769552150338842,1,低风险
E383,0.008626369049045523,1,低风险
E390,0.006808662649249991,1,低风险
E386,0.007262472063049509,1,低风险
E384,0.006196388622956866,1,低风险
E158,0.0054314878632506615,1,低风险
E389,0.00902042052190713,1,低风险
E274,0.009413753071535304,1,低风险
E319,0.0020850385843555097,0,低风险
E318,0.002190921261999934,0,低风险
E317,0.004805160881426897,0,低风险
E290,0.0020551871922074483,0,低风险
E284,0.0018382048727674512,0,低风险
E315,0.0020037152366388783,0,低风险
E314,0.0023761539086843897,0,低风险
E295,0.0028616384082594303,0,低风险
E322,0.002940008483402314,0,低风险
E320,0.0014380644703293622,0,低风险
E292,0.0032319772829188533,0,低风险
E321,0.0020380523674035362,0,低风险
E291,3.4592161951038924e-18,0,低风险
E283,0.00197934033320451,0,低风险
E313,0.002013231610712378,0,低风险
E301,0.00277980264668006,0,低风险
E288,0.002895195069687491,0,低风险
E302,0.0022815929287239556,0,低风险
E303,0.0019020585098714965,0,低风险
E304,0.0020461448958105396,0,低风险
E305,0.0030913163664926164,0,低风险
E306,0.0028333150200414237,0,低风险
E299,0.0020105445456956453,0,低风险
E308,0.0021167854336534985,0,低风险
E312,0.0012251609364144764,0,低风险
E298,0.0008688796611490835,0,低风险
E289,0.0011209694001471026,0,低风险
E309,0.0027903021469962773,0,低风险
E310,0.0017106393876074257,0,低风险
E311,0.003229117807251657,0,低风险
E287,0.002129987323070899,0,低风险
E294,0.002499378415184964,0,低风险
E349,0.004737167178628427,0,低风险
E324,0.001964044648099696,0,低风险
E358,0.0008561416264079182,0,低风险
E360,0.003718653694866902,0,低风险
E364,0.0034439707046901077,0,低风险
E366,0.004777851150556108,0,低风险
E369,0.003791425796456416,0,低风险
E370,0.001553268490952337,0,低风险
E372,0.0018443572990608204,0,低风险
E375,0.001714274427971687,0,低风险
E379,0.00432721092625018,0,低风险
E380,0.0027523334800444227,0,低风险
E381,0.004744121075088922,0,低风险
E382,0.004141703261321751,0,低风险
E387,0.0027743957058586335,0,低风险
E388,0.002871800348277074,0,低风险
E391,0.0016440806876218737,0,低风险
E392,0.004930893107160655,0,低风险
E393,0.0021936527685205414,0,低风险
E403,0.004768445814321241,0,低风险
E412,0.00486238508179554,0,低风险
E415,0.004851219727499382,0,低风险
E419,0.00481413201923836,0,低风险
E420,0.004723237600183245,0,低风险
E359,0.002435572770696618,0,低风险
E357,0.004937186552838586,0,低风险
E325,0.001022372685635754,0,低风险
E356,0.004554906756914552,0,低风险
E326,0.003094137592008755,0,低风险
E327,0.00222877790447402,0,低风险
E329,8.602129541289141e-05,0,低风险
E330,0.000953318841497432,0,低风险
E331,0.004373494272268833,0,低风险
E332,0.004927875165298709,0,低风险
E333,0.0027979785980836863,0,低风险
E334,0.003395486925317318,0,低风险
E337,0.0025552935566854323,0,低风险
E340,0.0029295365643386274,0,低风险
E342,0.003199655042915837,0,低风险
E343,0.0007554283555370419,0,低风险
E344,0.0031703795103046784,0,低风险
E345,0.0032513786366065154,0,低风险
E346,0.0023644953805567275,0,低风险
E348,0.0014256860897660518,0,低风险
E281,0.0020292172686865,0,低风险
E350,0.0039036555090768968,0,低风险
E352,0.003200003145878218,0,低风险
E353,0.0038970536534878733,0,低风险
E355,0.0044732764227118004,0,低风险
E282,0.0023156978051614304,0,低风险
E124,0.0035287290479868003,0,低风险
E280,0.0018935678137452293,0,低风险
E279,0.002789159647540911,0,低风险
E177,0.0,0,低风险
E176,0.0010343440818315916,0,低风险
E175,0.0020829435631488534,0,低风险
E174,0.0022584217453424328,0,低风险
E173,0.0012135090384480889,0,低风险
E172,0.0027540266040219294,0,低风险
E171,0.0014311891643888108,0,低风险
E170,0.0021006432575145853,0,低风险
E169,0.0013901875947621451,0,低风险
E168,0.0022720467941434543,0,低风险
E167,0.0007866471889705321,0,低风险
E166,0.0024065040155171655,0,低风险
E165,0.001087300231499089,0,低风险
E164,0.0014754518697965395,0,低风险
E163,0.0010726540854063967,0,低风险
E178,0.001367201522466195,0,低风险
E179,0.0026594017575886724,0,低风险
E180,0.0011326389687249423,0,低风险
E189,0.002568875220943048,0,低风险
E195,0.001131619142083208,0,低风险
E194,0.0012199797055283406,0,低风险
E193,0.0015258087909459366,0,低风险
E192,0.001445984204059026,0,低风险
E191,0.0005712989834191205,0,低风险
E190,0.004767766106841214,0,低风险
E188,0.001227264544592944,0,低风险
E181,0.0011169643049983593,0,低风险
E187,0.003398025382548397,0,低风险
E186,0.0033741101456408952,0,低风险
E185,0.003431712825236152,0,低风险
E184,0.004373560805742132,0,低风险
E183,0.0019823031016137477,0,低风险
E182,0.001012522133326236,0,低风险
E162,0.002475161939174676,0,低风险
E161,0.0010804622938215107,0,低风险
E160,0.002010319564099,0,低风险
E133,0.0033064918487740133,0,低风险
E139,0.001896269077129071,0,低风险
E138,0.00181991098694699,0,低风险
E137,0.0016757937275293337,0,低风险
E136,0.004917265739282857,0,低风险
E135,0.0014551578556961922,0,低风险
E134,0.0014065996976752179,0,低风险
E132,0.0015267015180936486,0,低风险
E141,0.0012613188766481859,0,低风险
E131,0.0009984836510890675,0,低风险
E130,0.0024051446374803768,0,低风险
E129,0.0011587581684680312,0,低风险
E128,0.0013434836183548854,0,低风险
E127,0.0010774853078197903,0,低风险
E126,0.0006289736276788947,0,低风险
E140,0.0010715892648364702,0,低风险
E142,0.0017326590677677043,0,低风险
E159,0.001222520243629641,0,低风险
E151,0.002973523648596614,0,低风险
E157,0.002897386668468697,0,低风险
E156,0.0015532404324354616,0,低风险
E155,0.0025973724000268473,0,低风险
E154,0.001761576637970749,0,低风险
E153,0.001023484975404846,0,低风险
E152,0.0013292347042290532,0,低风险
E150,0.0015955653037234322,0,低风险
E143,0.0017973919601502295,0,低风险
E149,4.085999923710612e-08,0,低风险
E148,0.003645702233570747,0,低风险
E147,0.001495077371185696,0,低风险
E146,0.001383167921073262,0,低风险
E145,0.0011916316270977716,0,低风险
E144,0.003077710318535126,0,低风险
E196,0.0013167312465347568,0,低风险
E197,0.0017563147061606993,0,低风险
E198,0.0026340399409352593,0,低风险
E250,0.0015475947042842388,0,低风险
E257,0.003407595368487185,0,低风险
E256,0.0017258192399759542,0,低风险
E255,0.0005566980006797916,0,低风险
E254,0.0024758207376529336,0,低风险
E253,0.0010711775417382933,0,低风险
E252,0.0026979088627764702,0,低风险
E248,0.0029601326601100286,0,低风险
E259,0.0015502987732500242,0,低风险
E247,0.0024335055017786723,0,低风险
E246,0.0014702618617182008,0,低风险
E244,0.002828980169096511,0,低风险
E243,0.0026132726376299595,0,低风险
E241,0.001953650852915434,0,低风险
E240,0.0027662340214343563,0,低风险
E258,0.0016958520551238624,0,低风险
E260,0.002151229927573741,0,低风险
E237,0.0038651897944449597,0,低风险
E271,0.002582787259943184,0,低风险
E278,0.0030134806845556503,0,低风险
E277,0.002522526822751208,0,低风险
E276,0.004311712833877486,0,低风险
E125,0.0018953882346582753,0,低风险
E273,0.0009953067828531003,0,低风险
E272,0.0022071392424146117,0,低风险
E270,0.00220771624478435,0,低风险
E261,0.0016822416266785824,0,低风险
E269,0.003857647777987309,0,低风险
E268,0.003454977087145232,0,低风险
E266,0.002968789422120131,0,低风险
E265,0.0027257974842202267,0,低风险
E263,0.0030496818623610023,0,低风险
E262,0.0035337106820378834,0,低风险
E238,0.0009616215426368518,0,低风险
E236,0.004304465431107243,0,低风险
E199,0.00426211753120883,0,低风险
E207,0.0034951783838685184,0,低风险
E213,0.0013573418435593432,0,低风险
E212,0.0022969990762475635,0,低风险
E211,0.0020487984828242004,0,低风险
E210,0.003874102475484218,0,低风险
E209,0.001303725936268988,0,低风险
E208,0.002369685301462187,0,低风险
E206,0.001484963206349557,0,低风险
E215,0.004757687565409768,0,低风险
E205,0.0017167981577446167,0,低风险
E204,0.0014101630485321088,0,低风险
E203,0.0036829499691312297,0,低风险
E202,0.0035366861786962746,0,低风险
E201,0.0026800985130975355,0,低风险
E200,0.002078447791855584,0,低风险
E214,0.0023267326008861266,0,低风险
E216,0.0025571191609635455,0,低风险
E235,0.002013967618312666,0,低风险
E227,0.0020739046640201285,0,低风险
E234,0.002740996765087262,0,低风险
E232,0.00443397559156487,0,低风险
E231,0.003563288522068408,0,低风险
